Model,Prompting,Keyword,Budget,AIME 2025,MATH500,MMLU Pro-1K,SuperGPQA-1K
google/gemma-3-4b-it,CoT,,,33.33,70.4,28.3,13.6
google/gemma-3-4b-it,CoT+BF,Wait,256,20,54.8,30.7,17.5
google/gemma-3-4b-it,CoT+BF,Wait,512,23.33,62.8,32,14.3
google/gemma-3-4b-it,CoT+BF,Wait,1024,30,68.4,32.7,18.6
google/gemma-3-4b-it,CoT+BF,Wait,2048,23.33,70.4,34.7,18.6
google/gemma-3-4b-it,CoT+BF,Wait,4096,26.67,71.4,36.2,17
google/gemma-3-4b-it,CoT+BF,Wait,8192,33.33,70.2,36.7,17.1
mistralai/Mistral-Small-3.1-24B-Instruct-2503,Zero-shot,,,20,65.4,61.7,33.3
mistralai/Mistral-Small-3.1-24B-Instruct-2503,CoT,,,16.67,67.8,57.6,30.6
mistralai/Mistral-Small-3.1-24B-Instruct-2503,CoT+BF,Wait,256,23.33,30,10.8,7.6
mistralai/Mistral-Small-3.1-24B-Instruct-2503,CoT+BF,Wait,512,10,41.2,12.8,7
microsoft/phi-4,Zero-shot,,,36.67,74,63,32.8
microsoft/phi-4,CoT,,,30,74,67.4,34.2
microsoft/phi-4,CoT+BF,Wait,256,20,43.2,60.01,29
microsoft/phi-4,CoT+BF,Wait,512,23.33,59.6,65.4,30.6
microsoft/phi-4,CoT+BF,Wait,1024,30,56.2,52.5,29.2
